u_t,x,u,u_x,u_xx,u_xxx
-1.531405145770143306e-01 1.000000000000000000e+00 5.586143955588340759e-02 7.676660269498825073e-02 1.023707658734887699e-01 1.273493440092410833e-01
-1.569568482016815147e-01 1.014999985694885254e+00 5.702444911003112793e-02 7.831632345914840698e-02 1.042996344201912590e-01 1.301088097515865072e-01
-1.600096723530234355e-01 1.029999971389770508e+00 5.821093171834945679e-02 7.989560067653656006e-02 1.062781734015727647e-01 1.321784090583455751e-01
-1.626290059737647287e-01 1.044999957084655762e+00 5.942131951451301575e-02 8.150454610586166382e-02 1.082649907887341251e-01 1.334201686424010269e-01
-1.658524010834754869e-01 1.059999942779541016e+00 6.065607070922851562e-02 8.314354717731475830e-02 1.102766433932349938e-01 1.356277412362773549e-01
-1.701448708669808796e-01 1.075000047683715820e+00 6.191562861204147339e-02 8.481284976005554199e-02 1.123379664324148930e-01 1.385251802657400388e-01
-1.732190165785627012e-01 1.090000033378601074e+00 6.320045888423919678e-02 8.651357144117355347e-02 1.144406815004939959e-01 1.403188329982645588e-01
-1.761600197142496604e-01 1.105000019073486328e+00 6.451103836297988892e-02 8.824582397937774658e-02 1.165433965685730988e-01 1.421124857307890788e-01
-1.804825816012455564e-01 1.120000004768371582e+00 6.584783643484115601e-02 9.000987559556961060e-02 1.186957820713312323e-01 1.448719514731345026e-01
-1.840594119358778535e-01 1.134999990463256836e+00 6.721133738756179810e-02 9.180670231580734253e-02 1.208812811972087287e-01 1.470795240670108306e-01
-1.871125244399907406e-01 1.149999976158142090e+00 6.860204041004180908e-02 9.363656491041183472e-02 1.231164507577652417e-01 1.484592569381835425e-01
-1.900677036968900779e-01 1.164999961853027344e+00 7.002043724060058594e-02 9.549995511770248413e-02 1.253350635067621011e-01 1.498389898093562544e-01
-1.944542553355925185e-01 1.179999947547912598e+00 7.146704196929931641e-02 9.739686548709869385e-02 1.276033466904379632e-01 1.528744021259362262e-01
-1.997729360733433435e-01 1.195000052452087402e+00 7.294234633445739746e-02 9.932805597782135010e-02 1.299378571203525512e-01 1.561857610167507182e-01
-2.026206761434914683e-01 1.210000038146972656e+00 7.444688677787780762e-02 1.012947633862495422e-01 1.322889243618268207e-01 1.575654938879234301e-01
-2.061356191275760807e-01 1.225000023841857910e+00 7.598119229078292847e-02 1.032967269420623779e-01 1.346565484148607716e-01 1.589452267590961421e-01
-2.105580214634392711e-01 1.240000009536743164e+00 7.754579186439514160e-02 1.053344607353210449e-01 1.370572860910140855e-01 1.617046925014415659e-01
-2.151963126253525205e-01 1.254999995231628418e+00 7.914122939109802246e-02 1.074084490537643433e-01 1.395076942018464161e-01 1.641882116695524418e-01
-2.183551040159180390e-01 1.269999980926513672e+00 8.076804876327514648e-02 1.095196977257728577e-01 1.419912159357981096e-01 1.652919979664906058e-01
-2.226580449886360613e-01 1.284999966621398926e+00 8.242682367563247681e-02 1.116679459810256958e-01 1.444581808581901217e-01 1.674995705603669338e-01
-2.285220009198324076e-01 1.299999952316284180e+00 8.411809056997299194e-02 1.138536930084228516e-01 1.470079298383805411e-01 1.710868760254160015e-01
-2.329907705401087215e-01 1.315000057220458984e+00 8.584243804216384888e-02 1.160781905055046082e-01 1.495907924416902957e-01 1.730185020450577815e-01
-2.360779426617559129e-01 1.330000042915344238e+00 8.760043978691101074e-02 1.183416694402694702e-01 1.521902118565597317e-01 1.738463417677613976e-01
-2.405503154145960665e-01 1.345000028610229492e+00 8.939269185066223145e-02 1.206441447138786316e-01 1.548061880829888493e-01 1.760539143616377533e-01
-2.462714389731557874e-01 1.360000014305114746e+00 9.121976792812347412e-02 1.229861080646514893e-01 1.574883915556566649e-01 1.788133801039831772e-01
-2.509569684740559081e-01 1.375000000000000000e+00 9.308227896690368652e-02 1.253685504198074341e-01 1.601705950283245083e-01 1.810209526978595052e-01
-2.566473828055265693e-01 1.389999985694885254e+00 9.498082846403121948e-02 1.277914792299270630e-01 1.629024689356713684e-01 1.837804184402049290e-01
-2.606254339824560784e-01 1.404999971389770508e+00 9.691602736711502075e-02 1.302558779716491699e-01 1.656840132776972452e-01 1.848842047371430930e-01
-2.643912891043985747e-01 1.419999957084655762e+00 9.888850897550582886e-02 1.327622532844543457e-01 1.684655576197231497e-01 1.854360978856121611e-01
-2.708442074361431251e-01 1.434999942779541016e+00 1.008988991379737854e-01 1.353096067905426025e-01 1.712471019617490542e-01 1.887474567764266808e-01
-2.763644792993867338e-01 1.450000047683715820e+00 1.029478013515472412e-01 1.378999203443527222e-01 1.741114303615733383e-01 1.912309759445375568e-01
-2.807990994003723983e-01 1.465000033378601074e+00 1.050359010696411133e-01 1.405332088470458984e-01 1.769923155729573039e-01 1.923347622414757208e-01
-2.850205218993626666e-01 1.480000019073486328e+00 1.071638017892837524e-01 1.432096958160400391e-01 1.798897575959009509e-01 1.931626019641793368e-01
-2.880849752769936711e-01 1.495000004768371582e+00 1.093321964144706726e-01 1.459299027919769287e-01 1.827871996188445702e-01 1.923347622414757208e-01
-2.955270700886496460e-01 1.509999990463256836e+00 1.115417033433914185e-01 1.486933231353759766e-01 1.856680848302285358e-01 1.959220677065247607e-01
-3.111936406658329379e-01 1.524999976158142090e+00 1.137930005788803101e-01 1.514997035264968872e-01 1.886648677225302440e-01 2.077877703986100721e-01
-3.148386267051181964e-01 1.539999961853027344e+00 1.160866990685462952e-01 1.543532758951187134e-01 1.918934459766674649e-01 2.072358772501409763e-01
